place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,is_temporarily_closed,closed_on,phone,review_keywords
ChIJ-yhrDABhUjoRcsBBh4F7fuA,Croma - Ramapuram,86,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.9,"3/160/2D, Mount Poonamallee Rd, Parthasarathy Nagar, Ramapuram, Manapakkam, Kanchipuram, Chennai, Tamil Nadu 600125",https://www.google.com/maps/place/Croma+-+Ramapuram/data=!4m7!3m6!1s0x3a5261000c6b28fb:0xe07e7b818741c072!8m2!3d13.020813!4d80.183865!16s%2Fg%2F11y58s1m1k!19sChIJ-yhrDABhUjoRcsBBh4F7fuA?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJa9-uy0VfUjoR9ujFPti9Jfg,Croma - Chrompet,7532,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.6,"No 14 & 15, GT Road, Kamakshi Colony, Chromepet, Tambaram Sanatorium, Chennai, Tamil Nadu 600047",https://www.google.com/maps/place/Croma+-+Chrompet/data=!4m7!3m6!1s0x3a525f45cbaedf6b:0xf825bdd83ec5e8f6!8m2!3d12.9434291!4d80.134211!16s%2Fg%2F11h75w_h7d!19sChIJa9-uy0VfUjoR9ujFPti9Jfg?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJlZ3iafZhUjoRh-HYrhk10Lc,Croma - Kattupakkam,522,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.9,"3/280, Poonamallee High Rd, Lourdupuram, Kumananchavadi, Goparasanallur, Chennai, Tamil Nadu 600056",https://www.google.com/maps/place/Croma+-+Kattupakkam/data=!4m7!3m6!1s0x3a5261f669e29d95:0xb7d03519aed8e187!8m2!3d13.046918!4d80.1199154!16s%2Fg%2F11y3kxpx3m!19sChIJlZ3iafZhUjoRh-HYrhk10Lc?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJJ8WFPapdUjoRgELCt1e846c,Croma - Selaiyur,3146,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.8,"Sy No 27, No 93, A1A2A, Velachery - Tambaram Main Rd, opp. Panchayat Shopping Complex, Kamarajapuram, Tambaram, Selaiyur, Chennai, Tamil Nadu 600073",https://www.google.com/maps/place/Croma+-+Selaiyur/data=!4m7!3m6!1s0x3a525daa3d85c527:0xa7e3bc57b7c24280!8m2!3d12.9235804!4d80.154126!16s%2Fg%2F11plsp7klm!19sChIJJ8WFPapdUjoRgELCt1e846c?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJbyhDTZddUjoR7AyLALSSJo0,Croma - Grand Mall,3772,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.6,"137, Velachery - Tambaram Main Rd, V.O.C Nagar, Doctor Seetaram Nagar, Tambaram, Chennai, Tamil Nadu 600042",https://www.google.com/maps/place/Croma+-+Grand+Mall/data=!4m7!3m6!1s0x3a525d974d43286f:0x8d2692b4008b0cec!8m2!3d12.9720761!4d80.2198386!16s%2Fg%2F124t4ws4d!19sChIJbyhDTZddUjoR7AyLALSSJo0?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJbS2kymNnUjoR5n0VIpTbxZc,Croma - Phoenix Marketcity,3995,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.5,"1st floor, Phoenix Market City, 142, Velachery, Chennai, Tamil Nadu 600042",https://www.google.com/maps/place/Croma+-+Phoenix+Marketcity/data=!4m7!3m6!1s0x3a526763caa42d6d:0x97c5db9422157de6!8m2!3d12.9913026!4d80.2166199!16s%2Fg%2F124swplm6!19sChIJbS2kymNnUjoR5n0VIpTbxZc?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJMcbL6iZkUjoRqGkKrFLGYZA,Croma - Anna Nagar,8455,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.4,"No, Khanna Building, Aa/5, 2nd Ave, Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040",https://www.google.com/maps/place/Croma+-+Anna+Nagar/data=!4m7!3m6!1s0x3a526426eacbc631:0x9061c652ac0a69a8!8m2!3d13.0843313!4d80.2168376!16s%2Fg%2F1tvyk5dc!19sChIJMcbL6iZkUjoRqGkKrFLGYZA?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJLXDT6XVnUjoR28N_R1T0zCs,Croma - Vadapalani,1095,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.8,"Door No 175/1l & 2l, Safura Unity Nsk Salai Road, Arcot Rd, opposite Vijaya Hospital, Vadapalani, Chennai, Tamil Nadu 600026",https://www.google.com/maps/place/Croma+-+Vadapalani/data=!4m7!3m6!1s0x3a526775e9d3702d:0x2bccf454477fc3db!8m2!3d13.0490894!4d80.2081938!16s%2Fg%2F11txtrdy5r!19sChIJLXDT6XVnUjoR28N_R1T0zCs?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJuUA8Z1hmUjoRswh3WT7T-G8,Croma - T Nagar,9287,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.5,"No 1, Ground Flr, Kences Towers Ramakrishna Street, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Croma+-+T+Nagar/data=!4m7!3m6!1s0x3a526658673c40b9:0x6ff8d33e597708b3!8m2!3d13.0486274!4d80.2330188!16s%2Fg%2F1tghbklp!19sChIJuUA8Z1hmUjoRswh3WT7T-G8?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJCwk7mt1jUjoRAUeQRafTrQI,Croma - Avadi,5292,Electronics store,"Electronics store, Appliance store, Computer accessories store, Refrigerator store",4.8,"No 4 & 5, Plot No 6/Pc2 60 Feet Road, Ramalingapuram, TNHB Mig V Block, Avadi, Tamil Nadu 600054",https://www.google.com/maps/place/Croma+-+Avadi/data=!4m7!3m6!1s0x3a5263dd9a3b090b:0x2add3a745904701!8m2!3d13.1136857!4d80.1027187!16s%2Fg%2F11f8hskcd7!19sChIJCwk7mt1jUjoRAUeQRafTrQI?authuser=0&hl=en&rclk=1,croma electronic store in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
