place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,is_temporarily_closed,closed_on,phone,review_keywords
ChIJfZaqGlhmUjoRkygSjvc5e9k,Viveks,11751,Electronics store,"Electronics store, Appliance store",4.8,"167, N Usman Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a5266581aaa967d:0xd97b39f78e122893!8m2!3d13.0472964!4d80.2327796!16s%2Fg%2F11b66gnzrj!19sChIJfZaqGlhmUjoRkygSjvc5e9k?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ5RIRmBthUjoRDg9rU4qSL7k,Viveks,6448,Electronics store,"Electronics store, Appliance store, Cell phone store, Furniture store, Office furniture store",4.8,"PVC Complex, 21B & 21C, Arcot Rd, Porur, Chennai, Tamil Nadu 600116",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a52611b981112e5:0xb92f928a536b0f0e!8m2!3d13.037856!4d80.1629902!16s%2Fg%2F11b7fjpqkb!19sChIJ5RIRmBthUjoRDg9rU4qSL7k?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJsexCdXJfUjoRRxSDciWwYcE,Viveks,7566,Appliance store,"Appliance store, Electronics store",4.8,"New no 4, Chandra Towers, Rajaji Rd, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a525f727542ecb1:0xc161b02572831447!8m2!3d12.928157!4d80.116468!16s%2Fg%2F124t2ls81!19sChIJsexCdXJfUjoRRxSDciWwYcE?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJF4CHCnOKUjoRwZpzr0xdYa4,Viveks - Poonamallee,1947,Electronics store,"Electronics store, Appliance store",4.7,"67, Trunk Rd, Rukmani Nagar, Poonamallee, Chennai, Tamil Nadu 600056",https://www.google.com/maps/place/Viveks+-+Poonamallee/data=!4m7!3m6!1s0x3a528a730a878017:0xae615d4caf739ac1!8m2!3d13.0496628!4d80.0910766!16s%2Fg%2F11c0r5lv7p!19sChIJF4CHCnOKUjoRwZpzr0xdYa4?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJXY34WqNmUjoRPI_3lyZ4JNY,Viveks,4644,Electronics store,"Electronics store, Appliance store, Cell phone store, Furniture store, Office furniture store",4.8,"188, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a5266a35af88d5d:0xd624782697f78f3c!8m2!3d13.0498823!4d80.2105846!16s%2Fg%2F119x2l99s!19sChIJXY34WqNmUjoRPI_3lyZ4JNY?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJjbt24_1dUjoRUve0C8jgymI,Viveks - Nanganallur,3230,Electronics store,"Electronics store, Appliance store",4.7,"Door No.23, 11, 4th Main Rd, Nanganallur, Chennai, Tamil Nadu 600061",https://www.google.com/maps/place/Viveks+-+Nanganallur/data=!4m7!3m6!1s0x3a525dfde376bb8d:0x62cae0c80bb4f752!8m2!3d12.9826837!4d80.1882727!16s%2Fg%2F1tp06jcb!19sChIJjbt24_1dUjoRUve0C8jgymI?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJVba_4h9fUjoR8pscz7oAlwU,Viveks - Selaiyur,4760,Electronics store,"Electronics store, Appliance store",4.7,"225, Velachery Main Rd, Selaiyur, Chennai, Tamil Nadu 600073",https://www.google.com/maps/place/Viveks+-+Selaiyur/data=!4m7!3m6!1s0x3a525f1fe2bfb655:0x59700bacf1c9bf2!8m2!3d12.9222186!4d80.1416092!16s%2Fg%2F11c0r5vt3z!19sChIJVba_4h9fUjoR8pscz7oAlwU?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJC4NlzltnUjoRJ5nUH5tDKBo,Viveks,1060,Electronics store,"Electronics store, Appliance store",4.6,"17/25, Medavakkam Main Rd, Rajendra Nagar, Keelkattalai, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a52675bce65830b:0x1a28439b1fd49927!8m2!3d12.9573144!4d80.18713!16s%2Fg%2F11f__1d05c!19sChIJC4NlzltnUjoRJ5nUH5tDKBo?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ8VYTry1mUjoRzGSXbFeoO1c,Viveks,11362,Electronics store,"Electronics store, Appliance store, Cell phone store, Computer store, Countertop store",4.9,"133, Royapettah High Rd, Vinayagar Kovil, Mylapore, Chennai, Tamil Nadu 600004",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a52662daf1356f1:0x573ba8576c9764cc!8m2!3d13.037736!4d80.2677464!16s%2Fg%2F1ptvxbqn0!19sChIJ8VYTry1mUjoRzGSXbFeoO1c?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJzdAikyFkUjoRPs_Z4CvELb4,"Viveks - Anna Nagar, Chennai",2083,Electronics store,"Electronics store, Appliance store, Electronics Company",4.6,"AA 152, 3rd Ave, near Round Tana, Lapis lagoon, AA Block, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040","https://www.google.com/maps/place/Viveks+-+Anna+Nagar,+Chennai/data=!4m7!3m6!1s0x3a5264219322d0cd:0xbe2dc42be0d9cf3e!8m2!3d13.0837339!4d80.217637!16s%2Fg%2F1tfgmv07!19sChIJzdAikyFkUjoRPs_Z4CvELb4?authuser=0&hl=en&rclk=1",viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJLVelqBNdUjoRB-RfNHE0K4w,Viveks - OMR,1512,Appliance store,"Appliance store, Electronics store",4.3,"OMR - ECR Link road Toll, No 288, Rajiv Gandhi Salai, Kandhanchavadi, Sholinganallur, Chennai, Tamil Nadu 600096",https://www.google.com/maps/place/Viveks+-+OMR/data=!4m7!3m6!1s0x3a525d13a8a5572d:0x8c2b3471345fe407!8m2!3d12.968219!4d80.248924!16s%2Fg%2F1pty7rfqn!19sChIJLVelqBNdUjoRB-RfNHE0K4w?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJN703l-xnUjoRPEW2CCZEwjg,Viveks,3549,Electronics store,"Electronics store, Appliance store",4.7,"35, Gandhi Nagar 1st Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a5267ec9737bd37:0x38c2442608b6453c!8m2!3d13.0068232!4d80.2566443!16s%2Fg%2F11c6zx76yt!19sChIJN703l-xnUjoRPEW2CCZEwjg?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ240Xkt5lUjoRySqFomHIWS4,Viveks - Purasawalkam,4228,Electronics store,"Electronics store, Appliance store",4.7,"No:205, Purasaivakkam High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600007",https://www.google.com/maps/place/Viveks+-+Purasawalkam/data=!4m7!3m6!1s0x3a5265de92178ddb:0x2e59c861a2852ac9!8m2!3d13.0859215!4d80.2514001!16s%2Fg%2F1tx_4sq1!19sChIJ240Xkt5lUjoRySqFomHIWS4?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJp6OXAgBhUjoRMgs7r4iERiU,Viveks showroom porur,58,Electronics store,Electronics store,4.2,"19, 19, Arcot Rd, Ramakrishna Nagar, Porur, Chennai, Tamil Nadu 600116",https://www.google.com/maps/place/Viveks+showroom+porur/data=!4m7!3m6!1s0x3a5261000297a3a7:0x25468488af3b0b32!8m2!3d13.0378318!4d80.1630454!16s%2Fg%2F11y29r74xb!19sChIJp6OXAgBhUjoRMgs7r4iERiU?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJH9nbEe9lUjoR5ylFctL13Qw,Viveks,1324,Electronics store,"Electronics store, Appliance store",4.8,"29/3, SEMBIUM, Red Hills Rd, Kolathur, Chennai, Tamil Nadu 600099",https://www.google.com/maps/place/Viveks/data=!4m7!3m6!1s0x3a5265ef11dbd91f:0xcddf5d2724529e7!8m2!3d13.128264!4d80.2167341!16s%2Fg%2F11fd4xlvnt!19sChIJH9nbEe9lUjoR5ylFctL13Qw?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJZ6THsMVgUjoRB6N0QGsJE8I,Viveks Warehouse,166,Appliance store,"Appliance store, Electronics store",3.6,"Godown No: 12, Central Warehouse, No: 105, Arcot Rd, Ayyavupuram, Virugambakkam, Chennai, Tamil Nadu 600092",https://www.google.com/maps/place/Viveks+Warehouse/data=!4m7!3m6!1s0x3a5260c5b0c7a467:0xc213096b4074a307!8m2!3d13.0453551!4d80.1945462!16s%2Fg%2F11b7hjrhdm!19sChIJZ6THsMVgUjoRB6N0QGsJE8I?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJdSFIcsJmUjoR7ZWHHPGHauQ,"VIVEKS, vadapalani",47,Appliance store,Appliance store,3.7,"No.174, Arcot Rd, near vadapalani bus terminus, Opp. Vadapalani Bus Terminus, Kannika Puram, Vadapalani, Chennai, Tamil Nadu 600026","https://www.google.com/maps/place/VIVEKS,+vadapalani/data=!4m7!3m6!1s0x3a5266c272482175:0xe46a87f11c8795ed!8m2!3d13.0498986!4d80.2106501!16s%2Fg%2F11gbx8z1h6!19sChIJdSFIcsJmUjoR7ZWHHPGHauQ?authuser=0&hl=en&rclk=1",viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJodynOy1mUjoRSe546WVj9aE,Vivek Private Limited - Corporate Office,243,Corporate office,Corporate office,3.5,"20/48 at, S Boag Rd, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Vivek+Private+Limited+-+Corporate+Office/data=!4m7!3m6!1s0x3a52662d3ba7dca1:0xa1f56365e978ee49!8m2!3d13.0375986!4d80.2428734!16s%2Fg%2F1tdh28_3!19sChIJodynOy1mUjoRSe546WVj9aE?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJvd1yQ75dUjoRFcsLZ3D8KW8,Vivek service centre,540,Television repair service,Television repair service,4.8,"1, Madipakkam Main Road, near, Ponniamman Koil St, opposite to jayaram mini hall, Madipakkam, Chennai, Tamil Nadu 600091",https://www.google.com/maps/place/Vivek+service+centre/data=!4m7!3m6!1s0x3a525dbe4372ddbd:0x6f29fc70670bcb15!8m2!3d12.9671322!4d80.1958517!16s%2Fg%2F11sny6fhbd!19sChIJvd1yQ75dUjoRFcsLZ3D8KW8?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJoS_SxSFnUjoRLw7arp7R8sY,Vivek Electricals,20,Electrical supply store,"Electrical supply store, Electrical products wholesaler",4.8,"Shop No. 102/BB, Pillaiyar Koil Street, Jafferkhanpet, Chennai, Tamil Nadu 600083",https://www.google.com/maps/place/Vivek+Electricals/data=!4m7!3m6!1s0x3a526721c5d22fa1:0xc6f2d19eaeda0e2f!8m2!3d13.030413!4d80.207996!16s%2Fg%2F1tdp_kdg!19sChIJoS_SxSFnUjoRLw7arp7R8sY?authuser=0&hl=en&rclk=1,viveks in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
